what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1390319760313
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1390319760332
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1390319760368
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1390319760387
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1390319760388
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1390319760462
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1390319760464
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1390319760513
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1390319760523
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1390319760584
started,bundle,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms",1390319761263
started,bundle,com.android.ide.eclipse.traceview,22.3.0.v201310242005-887826,"com.android.ide.eclipse.traceview",1390319761606
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1390319762513
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1390319762641
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1390319762642
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1390319762643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319762757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319769440
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1390319777449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319778649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319781790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390319781949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319809956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319821644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319841802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319854979
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1390319855004
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1390319953101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319954566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319966410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390319967044
opened,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1390319990331
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1390319990352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320167556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390320170185
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1390320294552
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1390320294569
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1390320294583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390320302933
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390320303066
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390320303312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390320304160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390320313338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390320318460
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1390320318907
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1390320319029
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1390320319030
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1390320319077
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1390320319192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320323314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320509691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390320512460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320521445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320521658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320527568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320527698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320542478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320542628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390320826267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390321139092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390321158871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390323943725
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1390323943794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390323944396
